number,Type,Date,Time,num_Sats,HDOP,Lat,Lon,Notes
#35,71899,0/00/2009,12:03:36 p.m.,12,9,-126.12698,-86.84309,Fix
#72,71899,3/8/2008,12:17:05 a.m.,2,1,-86.21608,-44.57085,Fix
#8,71899,12/4/2009,2:42:10 a.m.,4,2,-83.61476,-277.67373,Fix
#39,71899,11/17/2009,9:02:04 a.m.,5,2,-76.06434,-3.36064,Fix
#48,71899,1/9/2009,12:12:16 p.m.,0,14,-69.55301,-30.80652,Fix
#43,71899,5/12/2008,6:23:34 a.m.,15,15,-63.6321,-81.60986,Fix
#17,71899,9/19/2011,6:00:00 a.m.,12,15,-43.09712,-41.34852,Fix
#38,71899,6/13/2011,3:33:09 a.m.,9,5,-31.98032,-244.81324,Fix
#16,71899,11/10/2009,08:19:61 p.m.,2,0,-27.25145,-83.94848,Fix
#756,71899,11/4/2009,11:42:38 p.m.,5,2,-12.40255,-142.13355,Fix
#793,71899,11/9/2009,2:14:38 p.m.,6,7,-12.40252,-142.13181,Fix
#767,71899,11/6/2009,8:31:39 a.m.,5,1,-12.40237,-142.14403,Fix
#647,71899,10/22/2009,9:49:56 a.m.,5,1,-12.4023,-142.13218,Fix
#790,71899,11/9/2009,5:16:56 a.m.,4,3,-12.40225,-142.14471,Fix
#905,71899,11/23/2009,12:59:38 p.m.,5,2,-12.40223,-142.14464,Fix
#912,71899,11/24/2009,9:58:38 a.m.,5,2,-12.40222,-142.13163,Fix
#680,71899,10/26/2009,12:27:38 p.m.,5,1,-12.4022,-142.1314,Fix
#904,71899,11/23/2009,10:00:39 a.m.,4,4,-12.40216,-142.13132,Fix
#682,71899,10/26/2009,6:27:38 p.m.,6,2,-12.40211,-142.13166,Fix
#787,71899,11/8/2009,8:16:38 p.m.,6,1,-12.40211,-142.13138,Fix
#907,71899,11/23/2009,6:59:56 p.m.,6,1,-12.40203,-142.13128,Fix
#914,71899,11/24/2009,3:57:56 p.m.,5,1,-12.40203,-142.13139,Fix
#770,71899,11/6/2009,5:30:39 p.m.,5,1,-12.402,-142.13138,Fix
#769,71899,11/6/2009,2:30:39 p.m.,5,3,-12.40197,-142.14065,Fix
#791,71899,11/9/2009,8:14:56 a.m.,6,1,-12.40197,-142.13141,Fix
#915,71899,11/24/2009,6:57:38 p.m.,6,1,-12.40196,-142.13139,Fix
#720,71899,10/31/2009,12:07:38 p.m.,7,1,-12.40194,-142.14083,Fix
#913,71899,11/24/2009,12:58:38 p.m.,5,2,-12.40194,-142.13142,Fix
#792,71899,11/9/2009,11:14:39 a.m.,4,1,-12.40191,-142.13147,Fix
#771,71899,11/6/2009,8:29:38 p.m.,5,1,-12.40189,-142.13143,Fix
#903,71899,11/23/2009,7:00:39 a.m.,7,1,-12.40189,-142.13144,Fix
#908,71899,11/23/2009,10:00:08 p.m.,5,2,-12.40189,-142.13143,Fix
#910,71899,11/24/2009,3:59:26 a.m.,5,1,-12.40189,-142.13144,Fix
#911,71899,11/24/2009,6:58:38 a.m.,7,3,-12.40186,-142.1314,Fix
#909,71899,11/24/2009,12:59:08 a.m.,5,3,-12.40185,-142.13143,Fix
#765,71899,11/6/2009,2:33:38 a.m.,5,1,-12.40184,-142.13086,Fix
#916,71899,11/24/2009,9:57:38 p.m.,7,2,-12.40181,-142.13143,Fix
#906,71899,11/23/2009,3:59:45 p.m.,4,1,-12.4018,-142.13152,Fix
#672,71899,10/25/2009,12:34:08 p.m.,5,1,-12.40167,-142.13582,Fix
#685,71899,10/27/2009,3:24:38 a.m.,6,2,-12.40165,-142.14071,Fix
#664,71899,10/24/2009,12:39:38 p.m.,6,1,-12.40163,-142.13082,Fix
#648,71899,10/22/2009,12:48:38 p.m.,4,1,-12.4016,-142.13573,Fix
#789,71899,11/9/2009,2:15:56 a.m.,6,1,-12.40151,-142.13488,Fix
#660,71899,10/24/2009,12:42:38 a.m.,5,2,-12.40135,-142.13688,Fix
#656,71899,10/23/2009,12:45:26 p.m.,4,1,-12.40132,-142.13693,Fix
#653,71899,10/23/2009,3:46:26 a.m.,5,3,-12.40128,-142.13969,Fix
#681,71899,10/26/2009,3:27:40 p.m.,6,1,-12.40128,-142.13665,Fix
#658,71899,10/23/2009,6:42:56 p.m.,5,2,-12.40127,-142.13692,Fix
#651,71899,10/22/2009,9:46:56 p.m.,4,2,-12.40123,-142.13706,Fix
#650,71899,10/22/2009,6:47:38 p.m.,4,4,-12.40121,-142.13714,Fix
#657,71899,10/23/2009,3:42:52 p.m.,6,1,-12.40118,-142.13697,Fix
#659,71899,10/23/2009,9:41:40 p.m.,5,2,-12.40112,-142.13709,Fix
#786,71899,11/8/2009,5:16:39 p.m.,5,2,-12.40007,-142.1298,Fix
#686,71899,10/27/2009,6:24:56 a.m.,5,2,-12.40002,-142.12928,Fix
#735,71899,11/2/2009,8:57:08 a.m.,5,1,-12.39943,-142.12863,Fix
#700,71899,10/29/2009,12:17:27 a.m.,4,3,-12.39888,-142.12776,Fix
#719,71899,10/31/2009,9:09:38 a.m.,6,1,-12.3986,-142.12754,Fix
#699,71899,10/28/2009,9:19:08 p.m.,8,1,-12.39806,-142.12674,Fix
#662,71899,10/24/2009,6:39:56 a.m.,7,1,-12.39794,-142.12643,Fix
#698,71899,10/28/2009,6:17:38 p.m.,7,1,-12.39655,-142.12621,Fix
#917,71899,11/25/2009,12:57:38 a.m.,5,1,-12.39573,-142.12677,Fix
#673,71899,10/25/2009,3:32:38 p.m.,5,4,-12.39323,-142.1275,Fix
#701,71899,10/29/2009,3:18:38 a.m.,6,1,-12.39319,-142.12755,Fix
#663,71899,10/24/2009,9:39:50 a.m.,6,6,-12.39297,-142.1279,Fix
#743,71899,11/3/2009,8:49:38 a.m.,4,2,-12.39285,-142.12146,Fix
#777,71899,11/7/2009,2:24:38 p.m.,6,7,-12.3926,-142.12138,Fix
#688,71899,10/27/2009,12:24:03 p.m.,4,1,-12.39259,-142.128,Fix
#734,71899,11/2/2009,5:56:38 a.m.,6,1,-12.39257,-142.1281,Fix
#745,71899,11/3/2009,2:48:02 p.m.,5,2,-12.39242,-142.12185,Fix
#641,71899,10/21/2009,3:53:38 p.m.,5,1,-12.39239,-142.12167,Fix
#711,71899,10/30/2009,9:11:10 a.m.,5,1,-12.39226,-142.12797,Fix
#718,71899,10/31/2009,6:09:31 a.m.,5,10,-12.39224,-142.12775,Fix
#646,71899,10/22/2009,6:49:39 a.m.,6,3,-12.39222,-142.12764,Fix
#739,71899,11/2/2009,8:53:38 p.m.,5,1,-12.39222,-142.12778,Fix
#710,71899,10/30/2009,6:10:40 a.m.,6,3,-12.39221,-142.12789,Fix
#755,71899,11/4/2009,8:42:57 p.m.,5,2,-12.39221,-142.12798,Fix
#716,71899,10/31/2009,12:10:33 a.m.,4,5,-12.39219,-142.12873,Fix
#754,71899,11/4/2009,5:42:56 p.m.,6,1,-12.39218,-142.12799,Fix
#665,71899,10/24/2009,3:39:26 p.m.,5,5,-12.39217,-142.12789,Fix
#774,71899,11/7/2009,5:27:56 a.m.,5,2,-12.39217,-142.12795,Fix
#833,71899,11/14/2009,1:47:07 p.m.,5,2,-12.39217,-142.12774,Fix
#835,71899,11/14/2009,7:47:09 p.m.,5,1,-12.39217,-142.12814,Fix
#687,71899,10/27/2009,9:25:38 a.m.,4,3,-12.39216,-142.12787,Fix
#715,71899,10/30/2009,9:08:38 p.m.,4,4,-12.39216,-142.12819,Fix
#736,71899,11/2/2009,11:56:08 a.m.,4,3,-12.39216,-142.12804,Fix
#760,71899,11/5/2009,11:37:57 a.m.,5,1,-12.39216,-142.12794,Fix
#667,71899,10/24/2009,9:39:09 p.m.,4,2,-12.39215,-142.12768,Fix
#674,71899,10/25/2009,6:31:50 p.m.,4,1,-12.39214,-142.12783,Fix
#737,71899,11/2/2009,2:57:39 p.m.,5,3,-12.39214,-142.1281,Fix
#675,71899,10/25/2009,9:32:02 p.m.,5,2,-12.39212,-142.12774,Fix
#838,71899,11/15/2009,4:44:39 a.m.,5,2,-12.39212,-142.12778,Fix
#679,71899,10/26/2009,9:29:10 a.m.,5,3,-12.39209,-142.12792,Fix
#837,71899,11/15/2009,1:45:38 a.m.,4,1,-12.39207,-142.12771,Fix
#713,71899,10/30/2009,3:09:38 p.m.,6,3,-12.39206,-142.12786,Fix
#834,71899,11/14/2009,4:47:38 p.m.,6,4,-12.39205,-142.12749,Fix
#717,71899,10/31/2009,3:08:56 a.m.,4,3,-12.39203,-142.12769,Fix
#753,71899,11/4/2009,2:42:39 p.m.,6,2,-12.39202,-142.12768,Fix
#836,71899,11/14/2009,10:46:32 p.m.,5,2,-12.39197,-142.12852,Fix
#714,71899,10/30/2009,6:09:38 p.m.,5,4,-12.39196,-142.12741,Fix
#849,71899,11/16/2009,1:36:03 p.m.,5,2,-12.39136,-142.12183,Fix
#795,71899,11/9/2009,8:14:38 p.m.,5,2,-12.39131,-142.12165,Fix
#723,71899,10/31/2009,9:04:39 p.m.,6,1,-12.3913,-142.1219,Fix
#842,71899,11/15/2009,4:41:56 p.m.,4,3,-12.39127,-142.12479,Fix
#841,71899,11/15/2009,1:43:08 p.m.,6,6,-12.39126,-142.12493,Fix
#763,71899,11/5/2009,8:34:38 p.m.,6,1,-12.39125,-142.12461,Fix
#843,71899,11/15/2009,7:43:57 p.m.,5,1,-12.39125,-142.12461,Fix
#924,71899,11/25/2009,9:52:39 p.m.,6,1,-12.39121,-142.12457,Fix
#728,71899,11/1/2009,12:01:39 p.m.,5,1,-12.3912,-142.12455,Fix
#923,71899,11/25/2009,6:54:02 p.m.,5,1,-12.39119,-142.12463,Fix
#762,71899,11/5/2009,5:34:56 p.m.,4,3,-12.39118,-142.12459,Fix
#730,71899,11/1/2009,5:57:38 p.m.,4,3,-12.39115,-142.12462,Fix
#845,71899,11/16/2009,1:39:38 a.m.,5,1,-12.39113,-142.12467,Fix
#925,71899,11/26/2009,12:53:32 a.m.,6,1,-12.39113,-142.12446,Fix
#731,71899,11/1/2009,8:58:08 p.m.,4,2,-12.39112,-142.12449,Fix
#725,71899,11/1/2009,3:04:39 a.m.,4,2,-12.39105,-142.12455,Fix
#922,71899,11/25/2009,3:53:39 p.m.,4,3,-12.39104,-142.12457,Fix
#901,71899,11/23/2009,1:02:59 a.m.,5,9,-12.39098,-142.12159,Fix
