Identity,GPS Fix Time,date,GPS Fix Attempt,GPS Latitude,GPS Longitude,time,croc name,acoustic tag ID,satellite tag,GPS start,days at large,GPS end,number of fixes (HDOP<4),sex,total length (cm),,
1,2010.08.19 02:33:52,8/19/2010,Resolved QFP,-12.394353,142.145451,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
2,2010.08.19 20:00:36,8/19/2010,Succeeded,-12.389102,142.1209,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
3,2010.08.20 10:00:48,8/20/2010,Succeeded,-12.370133,142.121072,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
4,2010.08.20 20:01:28,8/20/2010,Resolved QFP,-12.358637,142.113392,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
5,2010.08.21 20:00:36,8/21/2010,Succeeded,-12.397428,142.148795,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
6,2010.08.22 10:00:40,8/22/2010,Succeeded,-12.401719,142.146993,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
7,2010.08.22 20:00:37,8/22/2010,Succeeded,-12.397513,142.148623,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
8,2010.08.23 10:01:17,8/23/2010,Resolved QFP,-12.397177,142.147847,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
9,2010.08.23 20:00:32,8/23/2010,Resolved QFP,-12.402013,142.140764,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
10,2010.08.24 10:00:54,8/24/2010,Succeeded,-12.401891,142.146821,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
11,2010.08.24 20:00:39,8/24/2010,Succeeded,-12.397428,142.148623,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
12,2010.08.25 10:00:44,8/25/2010,Succeeded,-12.397428,142.148709,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
13,2010.08.25 11:00:42,8/25/2010,Succeeded,-12.398801,142.127681,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
14,2010.08.25 20:00:42,8/25/2010,Succeeded,-12.398801,142.127681,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
15,2010.08.26 06:11:57,8/26/2010,Succeeded,-12.402492,142.132401,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
16,2010.08.26 07:12:07,8/26/2010,Succeeded,-12.397599,142.149224,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
17,2010.08.26 10:00:49,8/26/2010,Succeeded,-12.402492,142.132401,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
18,2010.08.26 20:00:59,8/26/2010,Succeeded,-12.397599,142.149224,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
19,2010.08.27 10:00:34,8/27/2010,Resolved QFP,-12.395232,142.14578,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
20,2010.08.27 20:00:27,8/27/2010,Resolved QFP,-12.39102,142.125711,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
21,2010.08.28 10:01:07,8/28/2010,Succeeded,-12.402492,142.143302,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
22,2010.08.28 20:00:48,8/28/2010,Succeeded,-12.400517,142.137208,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
23,2010.08.29 10:00:49,8/29/2010,Succeeded,-12.401462,142.130342,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
24,2010.08.30 10:00:59,8/30/2010,Succeeded,-12.402406,142.143044,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
25,2010.08.30 20:00:59,8/30/2010,Succeeded,-12.397771,142.149138,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
26,2010.08.31 10:01:04,8/31/2010,Succeeded,-12.40129,142.146478,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
27,2010.08.31 20:00:42,8/31/2010,Succeeded,-12.401805,142.141843,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
28,2010.09.01 10:00:49,9/1/2010,Succeeded,-12.40232,142.144589,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
29,2010.09.01 20:00:35,9/1/2010,Resolved QFP,-12.400913,142.137867,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
30,2010.09.02 10:00:36,9/2/2010,Succeeded,-12.39717,142.148538,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
31,2010.09.02 20:00:48,9/2/2010,Succeeded,-12.400174,142.129054,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
32,2010.09.03 10:00:48,9/3/2010,Succeeded,-12.395625,142.126479,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
33,2010.09.03 20:00:48,9/3/2010,Succeeded,-12.397857,142.149138,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
34,2010.09.04 10:00:37,9/4/2010,Succeeded,-12.400088,142.147679,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
35,2010.09.04 20:00:46,9/4/2010,Succeeded,-12.397513,142.148538,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
36,2010.09.05 10:00:48,9/5/2010,Succeeded,-12.396655,142.146564,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
37,2010.09.05 20:01:25,9/5/2010,Succeeded,-12.390819,142.123389,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
38,2010.09.06 10:00:48,9/6/2010,Succeeded,-12.35168,142.110686,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
39,2010.09.06 20:00:55,9/6/2010,Resolved QFP,-12.339954,142.103917,,Hamish,13878,646322,8/19/2010,120,12/17/2010,170,male,3890,,
